url,title,bias score,news org name
https://www.foxnews.com/media/dan-kildee-republican-defenses-ukraine-call,House Democrat Kildee on Republicans' defense of Ukraine call: 'In no real world is this OK',5,Fox News
https://thehill.com/regulation/court-battles/470075-supreme-court-sharply-divided-over-trumps-daca-repeal,Divided Supreme Court leans toward allowing Trump to end DACA,4,The Hill
https://www.cnn.com/2019/11/12/politics/house-republicans-trump-memo-impeachment-defense/index.html,House Republicans lay out central defenses of Trump in memo ahead of public impeachment hearings,1,CNN
https://www.cnbc.com/2019/11/12/watch-trump-speaks-at-the-economic-club-of-new-york.html,"Trump speaks on trade, domestic growth at the Economic Club of New York",6,CNBC
https://www.cbsnews.com/news/sdsu-student-death-14-fraternities-suspended-after-death-of-dylan-hernandez-possible-misconduct/,"San Diego State cites possible fraternity ""misconduct"" after freshman's death",4,CBS News
https://www.thedailybeast.com/stephen-miller-pushed-racist-stories-to-breitbart-leaked-emails-show,"Stephen Miller Pushed Racist Stories to Breitbart, Leaked Emails Show",9,Daily Beast
https://www.nbcnews.com/politics/donald-trump/private-speech-bolton-suggests-some-trump-s-foreign-policy-decisions-n1080651,Private Speech Bolton Suggests Some Trump's Foreign Policy Decisions…,4,NBC News
https://www.wsj.com/articles/google-s-secret-project-nightingale-gathers-personal-health-data-on-millions-of-americans-11573496790,Google’s ‘Project Nightingale’ Gathers Personal Health Data on Millions of Americans,4,Wall Street Journal
https://www.inc.com/chris-matyszczyk/united-airlines-just-made-an-extraordinary-maddening-statement-about-fees-it-may-make-passengers-truly-angry.html,"United Airlines Just Made an Extraordinary, Maddening Statement About Fees. It May Make Passengers Truly Angry",5,Inc
https://www.npr.org/2019/11/12/778530312/mcdonalds-is-sued-over-systemic-sexual-harassment-of-female-workers,McDonald's Is Sued Over 'Systemic Sexual Harassment' Of Female Workers,6,NPR
